hour_of_day,avg_temp
0,23.269166666666663
1,25.12914285714285
2,25.98576923076922
3,25.974444444444444
4,25.05320754716981
5,25.20815789473685
6,23.05234042553191
7,25.699736842105263
8,24.901590909090906
9,25.045384615384616
10,24.704651162790697
11,24.580652173913048
12,24.18571428571427
13,25.577352941176464
14,25.321555555555555
15,24.80815789473684
16,26.19522727272727
17,26.2639393939394
18,25.729302325581397
19,24.642571428571426
20,25.320000000000004
21,25.958055555555557
22,24.247555555555554
23,24.41886363636364
